id,title,affiliation,comment,attachment_summary,attachment_affiliation
NOAA-NMFS-2009-0029-1976,"Comment from Linda Courtney, Center for Biological Diversity",Center for Biological Diversity,"I am writing to urge the National Marine Fisheries Service to immediately enforce the Marine Mammal Protection Act Section 101 by banning swordfish imports until exporting countries demonstrate that their swordfish catch meets U.S. standards for protecting marine mammals.  This 36-year-old law protects dozens of species of dolphins, porpoises, sea lions, whales, and other species I care about while safeguarding U.S. fishers from unfair competition with unregulated foreign fishing fleets.  The time is long overdue to enforce the law and ban swordfish imports.<br/><br/>Congress recognized that fishing posed a threat to marine mammal species when it passed this provision of the Marine Mammal Protection Act over 30 years ago.  Enforcement of Marine Mammal Protection Act provisions for U.S. fisheries has led to the establishment of significant protective measures aimed at restricting harmful fishing practices and protecting marine mammal populations from unsustainable fisheries bycatch.  Congress also recognized that, if the United States' efforts to protect marine mammals from fisheries bycatch were to be successful, it would have to exert pressure on fisheries of other nations to adopt similarly protective measures.<br/><br/>The Marine Mammal Protection Act requires that all fisheries meet a ""zero mortality rate goal"" - in other words, that they reduce incidental death and serious injury of marine mammals to as close to zero as possible. This requirement has led to a number of important regulations on U.S. fishing, including gear-based requirements such as the use of pingers and net extenders, limits on the length of longlines, and as other measures like time-area closures, safe handling and release training and equipment, and mandatory observer coverage. All of these measures play a vital role in reducing fisheries' impact on populations of marine mammals and other species.<br/><br/>Banning swordfish imports until source countries demonstrate that they meet these important standards would use U.S. market power to protect marine species I care about around the world and protect the economic interests of domestic fisheries. Therefore, I strongly urge the National Marine Fisheries Service to implement the ban immediately. Thank you for your attention to this important issue.",,
OSHA-S777A-2006-0733-0350,2-252: Comment from CHARLES MARESCA; ASSOCIATED BUILDERS AND CONTRACTORS INC,ASSOCIATED BUILDERS AND CONTRACTORS INC,"MARESCA CHARLES A, ASSOCIATED BUILDERS AND CONTRACTORS INC, ARLINGTON, VA, 22209",,
IRS-2013-0038-92457,"Comment from Jerry Beeman, Faith and Freedom Coalition",Faith and Freedom Coalition,"The Obama administration is attempting to force the disclosure of donors to conservative organizations.  The effect would be to subject these donors to harassment by the media and the radical left.  When a similar effort was made to force disclosure of donors to civil rights groups, the Supreme Court ruled in NAACP v. Alabama that donors had a right to freedom of association and anonymity.  The same right should apply to conservative and pro-family groups.<br/>",,
ICEB-2019-0006-18937,Comment Submitted by Tara Lawson,Campbellsville University,"Ref: DHS Docket No. ICEB-2019-0006<br/><br/>Dear DHS,<br/><br/>I am writing to oppose the new rule on Extension of Stay  DHS Docket No. ICEB-2019-0006.  This rule will have a detrimental effect on higher education in the U.S..<br/><br/><span style='padding-left: 30px'></span>The limited period recommended by DHS for academic study does not take into consideration the actual time to accomplish degree programs that need more than two to complete.  Having this time limit will discourage students from seeking education at U.S. colleges and universities. Elon Musk, known for founding PayPal, Tesla, and SpaceX, was born in South Africa. He received two Bachelor's degrees from the University of Pennsylvania before founding his first business. His education took more than what a 2-year limit would allow.  <br/><br/><span style='padding-left: 30px'></span>The State Department lists nearly 300 world leaders, current and former, who chose U.S. institutions, a trend that analysts say reinforced the nation's status as the global leader in higher education but also underscores the figures' desire or, in many cases, need to familiarize themselves with the United States, its politics and its culture. Kenya president Uhuru Muigai Kenyatta studied economics, political science and government at Amherst College in the United States.  <br/><br/>For both the importance of current students and the health of the U.S. place in the world stage, this rule should not be implemented. <br/><br/>Thank you for your time and consideration in not imposing this new rule.<br/><br/>Tara Lawson<br/>Campbellsville University ",,
DOS-2014-0003-81537,Comment on DOS-2014-0003-0001,BKM Strategies,"Dear Secretary Kerry:<br/><br/>I'm writing to encourage you to approve the construction of the Keystone XL Pipeline as quickly as possible.  The pipeline will provide much needed, good paying jobs for our economy while ensuring our country’s energy and national security.<br/><br/>Please act now.  We cannot afford to wait any longer.",,
HHS-OS-2018-0008-111047,Comment on FR Doc # 2018-11673,Susan B. Anthony List,"To Whom it May Concern,<br/><br/>Today I write in strong support of the proposed rule titled: Compliance With Statutory Program Integrity Requirements (HHS-OS-2018-0008), also known as the Protect Life Rule.<br/><br/>The proposed rule seeks to reinstate Reagan-era prohibitions on Title X funding for abortion centers. Similar regulations were upheld by the Supreme Court in 1991 in Rust v. Sullivan (500 U.S. 173).<br/><br/>Abortion is not family planning. This rule would draw a bright line between abortion and family planning, as was clearly intended in the statute.<br/><br/>Currently 266 Planned Parenthood abortion centers are also federal Title X locations. Planned Parenthood is the nations largest abortion business and receives $50-$60 million a year from Title X. They should not be entitled to treat Title X as their personal slush fund. Research released by the Charlotte Lozier Institute in 2018 shows Planned Parenthood has inflated the U.S. abortion rate, controlling more than 35% of the abortion industry and resulting in more than three million extra abortions that could have been avoided.<br/><br/>American taxpayers do not want to be complicit in abortions through their taxpayer dollars. According to a January 2018 Marist poll, six in ten Americans oppose taxpayer funding of abortion. Money is fungible and tax dollars should be invested in comprehensive health care alternatives, not used as a slush fund to prop up the abortion industry.<br/><br/>It's important to note that the proposed rule will not reduce family planning funding by a single dollar. This rule would simply direct taxpayer funds to family planning providers who stay out of the abortion business. Women and girls are best served at alternative health care centers including community and rural health care centers that outnumber Planned Parenthood abortion facilities by more than 20 to 1 nationwide.<br/><br/>I strongly urge adoption of the rule.<br/><br/>Sincerely,<br/><br/>Frances Harry<br/>Ohio",,
EPA-HQ-OAR-2004-0215-0102,"Comment submitted by Todd Hunt, Sonora Mining Corp. [A-91-74-IV-D-113]",Sonora Mining Corp.,See attached,,
DOS-2014-0003-96374,Comment on DOS-2014-0003-0001,BKM Strategies,"Dear Secretary Kerry:<br/><br/>I'm writing to encourage you to approve the construction of the Keystone XL Pipeline as quickly as possible.  The pipeline will provide much needed, good paying jobs for our economy while ensuring our country’s energy and national security.<br/><br/>Please act now.  We cannot afford to wait any longer.",,
FWS-R8-ES-2021-0060-0030,Comment from California Farm Bureau,California Farm Bureau,Please find the attached comments of the California Farm Bureau on the proposal to designate critical habitat for the Southern Sierra Nevada Distinct Population Segment of Fisher.,,
FNS-2011-0019-2834,Comment on FR Doc # 2013-02584,None,"Please consider the following recommendation for the proposed rule on Competitive Foods – Caffeine  which I endorse<br/><br/>Caffeine <br/><br/>Proposed Rule - The proposed rule requires that competitive foods and beverages served to elementary and middle school students must be caffeine free, with the exception of trace amounts of naturally occurring caffeine substances.[1]   The proposed rule does not include a similar restriction on caffeine served to high school students.<br/><br/>Recommendation –SNA agrees with the standards that are being established for beverages including those established for high school students.  However, we do have concerns about those schools that have blended grade ranges within the same building whereby elementary may be blended with middle school and middle schools may be blended with high schools.  We would recommend additional guidance on how access can be provided to students without unfair restrictions due to combined buildings<br/>",,
GIPSA-2010-PSP-0001-RULEMAKING-24624,Meyer Land & Cattle Co - GIPSA Farm Bill NPR Comment,Meyer Land & Cattle Co.,,,
FMCSA-2012-0309-0055,David - Comments,"lh trucking,llc","my company will use the information to get more work out of the drivers , that is what it is for right.",,
ED-2021-OCR-0166-215627,Comment on FR Doc # 2022-13734,Florida Department of Education,Please see the attached comments submitted by the Florida Department of Education.,,
IRS-2013-0038-99808,"Comment from Paula Kuhns, Faith and Freedom Coalition",Faith and Freedom Coalition,"Grassroots issue groups operating under Section 501(c)(4) are part of a long and celebrated tradition of freedom of association and speech that is central to American democracy.  They combine like-minded Americans to influence public opinion and policy.  It is impossible to imagine the American people exercising their First Amendment rights otherwise.  Any regulation affecting the ability of such groups to organize and inform citizens should be undertaken with great caution, and only when there is a compelling state interest. These regulations do not meet that standard.<br/>",,
DOT-OST-2024-0091-0269,"Comment from LATAM-Airlines Ecuador S.A., d/b/a LATAM Airlines Ecuador","LATAM-Airlines Ecuador S.A., d/b/a LATAM Airlines Ecuador","Comments of LATAM-Airlines Ecuador S.A., D/B/A LATAM Airlines Ecuador",,
OFCCP-2019-0003-75773,Comment on FR Doc # 2019-17472,American Civil Liberties Union,"I strongly urge the Department of Labor to reject the proposed rule allowing employers contracting with the federal government to discriminate against LGBTQ people and other groups. The proposed rule would turn our country's founding principle of religious liberty into a license to discriminate  with our taxpayer dollars. <br/> <br/>Current, longstanding nondiscrimination protections are about ensuring that every person can earn a living, provide for their families, and safely go about their daily lives without fear of repercussion for who they are. <br/> <br/>Discrimination has no place in this country. Reject the proposed rule.",,
FWS-R3-ES-2024-0137-64237,Comment from ERO Resources,ERO Resources,"Considering that critical habitat is only being proposed in California, but monarchs can be found throughout the country, more clarity around what important (read: not critical) habitat for the rest of the country looks like for the monarch would be beneficial. Consultants and project proponents who want to comply/assist in reasonable conservation efforts for the eastern population (or, for that matter, western population outside of critical habitat) would greatly benefit from more specific information about characteristics of habitat outside of proposed critical habitat that will be important and regulated. While regulating individual stems is not the goal nor is it practical, is there a minimum density per unit area standard for milkweed? Minimum acreage for native prairie/grassland? Specific migratory corridors for the eastern population? Will presence/absence of monarchs in a project area be enough to trigger consultation with the Service? What are the primary conservation needs for the eastern population, where critical habitat is not being proposed?<br/><br/>Thank you for your important work!",,
FWS-R9-ES-2008-0093-20656,Comment on FR Doc # E8-18938,Center for Biological Diversity,"I am writing to urge you to stop the changes to longstanding regulations implementing the Endangered Species Act you recently proposed. These changes would drastically weaken the interagency consultation provision of the Endangered Species Act -- widely considered the most important and effective provision of the Act -- and also undercut the Endangered Species Act's proper role in addressing the impacts of climate change on our nation's most imperiled wildlife. <br/><br/>For 35 years the Endangered Species Act has protected imperiled species from the effects of potentially harmful federal projects. The strength of the Endangered Species Act has been the checks and balances created by interagency consultation between federal agencies that build roads, issue logging permits, and lease oil and gas rights among other projects, and the U.S. Fish and Wildlife and National Marine Fisheries Services, whose primary responsibility is the conservation of endangered species. <br/><br/>Interagency consultation ensures that federal projects that may impact America's most imperiled wildlife are independently reviewed by federal wildlife experts and project modifications are made where necessary. In the overwhelming majority of consultations federal projects move forward with little or no significant changes.<br/><br/>The regulations you recently proposed would eliminate interagency consultation on thousands of federal projects that pose a risk to endangered and threatened species each year. The changes will almost certainly result in detrimental impacts on endangered and imperiled species and a higher propensity to overlook opportunities to avoid such impacts.<br/><br/>Notwithstanding the fact that these are the most significant changes to regulations implementing the Endangered Species Act in more than 20 years, you have provided the public just 30 days in which to submit comments, not the traditional 90, and prevented anyone from sending their comments by email. <br/><br/>I request you set an additional 60 days to allow the public an opportunity to meaningfully comment on these proposed regulations.<br/><br/>I also urge you to not to finalize these regulatory changes. <br/><br/>Thank you.",,
FWS-HQ-ES-2020-0102-6128,Submitted Electronically via eRulemaking Portal,None,"We need to be managing our forests.<br/><br/>As a supporter of the Ruffed Grouse Society and American Woodcock Society, I respectfully submit this public comment in support of the proposed rule guiding Interagency Consultation for existing forest and land-management plans. I support the need to protect threatened and endangered species, but when existing, approved Forest Plans have identified and taken into account these wildlife needs, species-specific concerns and analysis of potential impacts of specific actions should be addressed at the forest project level. <br/><br/>This rule clarifies that consultation with the Fish and Wildlife Service is not required of federal agencies a programmatic (forest or land-management plan) level when new information becomes available, new critical habitat is designated, or a new species is listed for a project that is taking place within the guidelines of the plan. Consultation requirements for proposed projects within the plan remain in place. Potential impacts to listed species, species-specific concerns and analysis of specific actions are most appropriately addressed at the project level.<br/><br/>The lack of clarity on this consultation process is resulting in unnecessary litigation that drains time and resources we can ill afford to lose. While populations of ruffed grouse, American woodcock, and other forest wildlife face serious declines, more than 80 million acres of national forest land are in critical need of attention to restore environmental function and provide quality habitat. I urge you to implement the proposed rule that ensures appropriate consultation and protections regarding listed species remain in place, but allows our land managers to implement critical projects in a timely, responsible manner.",,
NLRB-2011-0002-1389,Comment on FR Doc # 2011-15307,taxpayers for Justice,"I strongly oppose voting for:<br/>1) Ambush elections that allow aggressive union organizers to conduct one-sided, intimidating unionization campaigns.<br/><br/>2) Invasions of workers' privacy by forcing employers to provide to union organizers the personal contact information and shift schedule of each worker.<br/><br/>3) Abusive card check campaigns in which union organizers lie, trick, or harass workers into signing ""union authorization cards.""<br/><br/>enough has been done to shaft the taxpayer so stop these union efforts directed to injure us more. ",,
FWS-HQ-IA-2021-0099-6748,"Comment from Grondin, Melissa",None,"Dear Mary Cogliano,<br/><br/>As someone deeply concerned with the welfare of elephants and on behalf of In Defense of Animals, an animal protection organization with over 250,000 supporters, I urge you to ban the import of elephants and elephant trophies from Africa. I appreciate that USFWS is proposing new stricter regulations. That is an important step. Now is the time to take the next step and initiate a total ban on this inhumane trade, a trade that spells death from poaching or a lifetime spent swaying in a barren zoo enclosure.<br/><br/>Despite statements to the contrary by proponents of trophy hunting, there is little economic benefit to African countries from allowing this cruelty. It only destroys the viability of elephant populations and impedes conservation efforts. Also, keeping elephants locked up in tiny zoo enclosures does nothing to conserve them in the wild.<br/><br/>By taking this action to halt all import permits of African elephants, the US will send the message that it is committed to protecting these highly endangered animals. That message will resonate with all other nations to stop any plans to import elephants or elephant trophies. Here in the 21st century, it is time to finally save these majestic elephants from slaughter and lifetimes of captivity. I beseech you to strengthen regulations by halting any more decimation of elephant populations. Allow elephants to live where they belong, in Africa.<br/><br/>Sincerely,<br/>Ms Melissa Grondin<br/>8 Fairview Ave Apt 1 Malden, MA 02148-2911",,
BLS-2024-0001-23968,Comment on FR Doc # 2024-12825,American Society of Radiologic Technologists,"As a member of the American Society of Radiologic Technologists, I respectfully submit public comment to the Office of Management and Budget to consider updating the classification of diagnostic radiologic technologists to professional under 29-2030.  <br/><br/>Radiologic technologists work at the intersection of innovation in medical technology and direct patient care. This requires us to exercise critical thinking daily, not only as part of a larger health care delivery team but also individually when deciding how best to provide care based on each patient’s particular needs. <br/><br/>Radiologic technologists are similar in a broad sense to a variety of other health care workers who are required to exercise critical thinking and independent judgment as part of their daily jobs. The job of the radiologic technologist involves operating imaging equipment to capture images of a patient’s internal body structures and troubleshooting systems to ensure diagnostic-quality images. They collaborate with radiologists, ensuring that diagnostic-quality images are captured through the appropriate imaging modality. For example, a technologist must use certain imaging techniques for a trauma patient to assure safe imaging and accurate diagnosis.  Capturing elbow images that allow for diagnosis on a patient who walks in is quite different than capturing images for a patient with significant trauma. Radiologic technologists work autonomously to use their knowledge, tools and critical thinking skills to capture diagnostic images. If images are not diagnostic, the radiologist may miss a diagnosis. Radiologic technologists must enforce strict radiation protocols throughout their work, and they have a critical role in patient care: providing instructions to patients and ensuring patients are comfortable and safe during procedures.   <br/><br/>The role of the radiologic technologist in the modern health care industry continues to evolve as the demand for improved imaging technology accelerates. This has made radiologic technologists more essential and has required more specialization. Therefore, I believe it appropriate that the SOC occupational definition for radiologic technologists be reconsidered to more accurately reflect the increasingly professional responsibilities of this occupation. Additionally, technologists’ therapy counterparts, radiation therapists, are already classified as professionals, and they ensure a similar level of patient management and critical thinking as radiologic technologists every day. <br/><br/>I urge the OMB to take this opportunity to revise the SOC occupational definitions to provide important updates to the radiologic technologist definition that reflect the growing importance of the profession. I urge the OMB to update definition to more clearly designates the radiologic technologist as a professional. This would more accurately reflect the actual practice of this vital health care role and ensure that this profession is properly characterized. <br/><br/>Thank you for the opportunity to present these comments for the OMB’s possible revision of the SOC for 2028.",,
FAA-2012-0350-9765,Comment on FR Doc # N/A,None,"This makes sense from a safety as well as cost savings standpoint, both for the pilot and for the government.  I support the AOPA/EAA request.",,
NPS-2018-0005-166338,Comment on FR Doc # 2018-10735,National Parks Conservation Association,"As one of 1.3 million members and supporters of the National Parks Conservation Association, I strongly oppose the National Park Service's attempt to roll back 2015 clarifications of existing park authority to protect bears and wolves on Alaska national preserves. Extreme sport hunting methods, like brown bear baiting and killing hibernating black bear mothers and cubs in dens, don't belong on national preserves in Alaska.<br/><br/>National parks and preserves in Alaska were set aside by Congress as special places where bears, wolves and other wildlife roam as part of a natural ecosystem. This is why I oppose the National Park Service's proposal to allow extreme hunting practices.<br/><br/>I urge you to protect our last, best chance to make sure our children inherit a world with wild spaces and wildlife. Thank you.",,
ETA-2019-0005-81247," - cloud, james",LIUNA Local 563,"Union apprenticeships open doors out of poverty across America. I am a proud laborer who has been building my career in construction for LIUNA Local 563<br/> <br/>LIUNA and our contractor partners spend millions of dollars every year creating the best trained workforce in the world. These programs are well-established and produce tens of thousands of graduates every year.<br/> <br/>IRAPs would be redundant and unhelpful in an industry that has already built such a successful system to meet workforce needs and help so many workers achieve the American Dream. <br/><br/>With IRAPs, contractors will be allowed to pay apprentices minimum wage with no guarantee of wage progression. This will drive down wage and benefit standards across the industry.",,
FEMA-2013-0044-0014,"Comment Submitted by Jonathon Monken, Illinois Emergency Management Agency",Illinois Emergency Management Agency,"On behalf of Governor Quinn and the Illinois Emergency Management Agency, I welcome the opportunity to comment on FEMA's proposed change to the FEMA Donated Resources policy.  Under the current Donated Resources Policy, donated resources, including hours for “mass food and sheltering of victims” are only eligible if those activities are not part of the mission of the donating organization.<br/><br/>Established voluntary agencies whose mission includes providing assistance with mass care and sheltering activities are the very organizations that have the expertise and capacity to provide such mass care assistance.  These organizations provide such service at a cost far less than if government agencies were to provide that service directly (which would be reimbursable if such services were provided by government agencies).   The expertise of organizations whose mission it is to provide mass care services is critically needed particularly with respect to the care of persons living in shelters and making sure that food safety is properly maintained.<br/><br/>We fully support the proposed changes to the policy.   The proposed change in policy provides a financial incentive for local governments to develop relationships and partnerships with voluntary agencies that provide such services.   Essentially as the policy currently stands, only the hours of spontaneous volunteers could be counted toward the non-federals share, which is contrary to the best practices of volunteer management and federal guidance given to local and state stakeholders that encourages the use of affiliated volunteers and agencies.<br/><br/>We appreciate FEMA's leadership in making this proposed change which will significantly impact local communities’ ability to recover from a disaster.<br/>",,
EPA-HQ-OPP-2009-0759-0022,"Comment  submitted by James E. Betts, Betts & Associates, Inc.","Betts & Associates, Inc.","Lisa Jackson<br/>Administrator, USEPA<br/>Environmental Protection Agency<br/>1200 Pennsylvania Ave., NW<br/>Washington, D. C.  20460-0001<br/><br/>Dear Ms. Jackson:<br/><br/><span style='padding-left: 30px'></span>This letter is written because of the new Science Advisory Panel on Atrazine scheduled to be convened by USEPA beginning November 3, 2009.<br/><br/><span style='padding-left: 30px'></span>Atrazine was re-registered by USEPA in 2006 following an exhaustive review by the agency that concluded it can be used safely and is ""not likely"" to cause health problems. Atrazine is used successfully around the world – in more than 60 countries – and has never been discontinued because of suspected health effects.<br/><br/><span style='padding-left: 30px'></span>After more than half a century of successful, safe applications, and thousands of scientific studies and new product development, Atrazine is still one of the most affordable, cost-effective herbicides , rewarding its users with lower costs and greater yields.<br/><br/><span style='padding-left: 30px'></span>EPA has a long history of appropriate, transparent review of farm chemicals and of basing its conclusions on sound science. Hopefully, that tradition will continue in a new administration and will not be altered by an aggressive, but uninformed, political agenda.<br/><br/><span style='padding-left: 30px'></span>The farmers of America are counting on your agency to continue its commitment to sound science in its upcoming review of Atrazine.<br/><br/><span style='padding-left: 30px'></span><span style='padding-left: 30px'></span><span style='padding-left: 30px'></span><span style='padding-left: 30px'></span><span style='padding-left: 30px'></span><span style='padding-left: 30px'></span>Very truly yours,<br/><br/><span style='padding-left: 30px'></span><span style='padding-left: 30px'></span><span style='padding-left: 30px'></span><span style='padding-left: 30px'></span><span style='padding-left: 30px'></span><span style='padding-left: 30px'></span>James E. Betts<br/><br/>JEB/ba<br/>CC:<span style='padding-left: 30px'></span>Steve Owens, Assistant Administrator<br/><span style='padding-left: 30px'></span>Larry Elworth, Chief Agricultural Counselor<br/><span style='padding-left: 30px'></span>Tom Vilsack, Secretary of Agriculture<br/><span style='padding-left: 30px'></span>Robert Bonnie, Senior Advisor for Environment and Climate",,
NPS-2013-0001-2721,Comment on FR Doc # 2013-08893,Save Our Natural Treasures,Beauty of Yellowstone National Park Must Be Preserved !,,
NOAA-NMFS-2022-0022-10397,"Comment from Skidmore, Evelyn",None,"Dear Caroline Good,<br/><br/>I write to you as one of In Defense of Animals 250,000 supporters, to speak in support of the proposed rule to amend vessel speed regulations in relation to North Atlantic right whales. I also urge you to take more protective measures to ensure the survival of this species and to continue efforts to create ropeless fishing gear. <br/> <br/>As you know, there are less than 350 North Atlantic right whales alive, a number so low that for every one of them, there are 22,857,143 of us humans, and the most common threats to these beautiful and critically endangered whales are boat collisions and entanglement in fishing gear. The most vulnerable to boat collision deaths are mother whales with their calves. Recently, a whale known as Infinity and her calf were struck off the coast of Florida by a sportfishing yacht. Infinity suffered painful injuries and her calf sadly passed away.<br/> <br/>I support the proposed amendments to the vessel speed rule to expand the seasonal speed zone boundaries and to include boats from 35 to 65 feet long in the rule. I also support the change to mandatory dynamic speed zones. <br/> <br/>The proposed amendments to the vessel speed rule are a huge step in the right direction, but I encourage the NOAA Fisheries to take additional measures to protect right whales. <br/> <br/>First, the dynamic management areas should be implemented when a minimum of one right whale is detected, not three, which would include vulnerable mother-calf pairs. <br/> <br/>Second, the seasonal speed zone should be expanded to the New Hampshire border to protect whales in a wider range. <br/> <br/>Third, military vessels and federally owned and operated vessels should not be exempted from this rule. <br/> <br/>Finally, the rule should also establish year-long protections for right whales along New England where boat traffic is particularly high and right whales are known to be present year-round.<br/> <br/>Thank you for the opportunity to comment on the proposed amendment to the rule, and for working to protect North Atlantic right whales.<br/><br/>Sincerely,<br/>Evelyn Skidmore",,
