id,organizaiton,individual
NPS-2018-0005-61202,None,1
VA-2016-VHA-0011-72099,None,1
OSHA-2007-0073-2151,None,1
NOAA-NMFS-2013-0095-0491,International Fund for Animal Welfare,0
DOI-2017-0002-471968,None,1
OSHA-H122-2006-0956-3439,None,1
BLS-2024-0001-14838,None,1
FTC-2019-0054-83823,None,1
BSEE-2018-0002-14871,None,1
OFCCP-2019-0003-105949,None,1
FAR-2021-0016-24708,None,1
NOAA-NMFS-2008-0209-5577,None,1
FDA-2021-N-1349-9053,None,1
VA-2022-VHA-0021-32944,None,1
FAA-2019-1100-33745,None,1
ATF-2021-0002-102876,None,1
CPSC-2023-0021-7765,None,1
AMS-NOP-21-0073-18165,None,1
CMS-2021-0119-30293,None,1
FWS-HQ-ES-2023-0018-42120,None,1
ED-2021-OCR-0166-165413,None,1
NRC-2017-0215-0124,None,1
FAA-2014-0510-0080,Queens Quiet Skies,0
NPS-2018-0007-63208,None,1
HHS-OCR-2019-0007-119086,American Civil Liberties Union,1
IRS-2013-0038-30591,None,1
CFPB-2013-0004-1948,Young Invincibles,1
VA-2022-VHA-0021-17241,None,1
BOEM-2022-0031-104320,None,1
BIS-2018-0006-100103,"Tubos Reunidos America, Inc.",0
CEQ-2019-0003-548341,None,1
SSA-2018-0026-124113,None,1
FDA-2021-N-1309-23827,None,1
FTC-2023-0026-1114,Allegra - Eden Prairie MN,0
CMS-2019-0109-1231,None,1
FSIS-2024-0010-2316,None,1
CMS-2013-0155-1304,None,1
FWS-R4-ES-2024-0073-25306,None,1
NOAA-NMFS-2024-0107-0959,None,1
FTC-2024-0018-3842,None,1
NPS-2023-0001-1691,None,1
ED-2021-OCR-0166-151681,None,1
EPA-HQ-OAR-2010-0799-6418,None,1
FDA-2011-N-0921-17615,None,1
FDA-2020-P-1510-31315,None,1
ED-2018-OCR-0064-88884,None,1
BOEM-2017-0050-42824,None,1
FDA-2016-D-2635-11669,None,1
BLM-2023-0001-56091,None,1
ATF-2023-0002-224024,None,1
VA-2019-VHA-0008-8932,None,1
FDA-2021-N-1349-93455,None,1
ACF-2023-0010-3136,None,1
EEOC-2023-0004-91650,None,1
CEQ-2019-0003-77847,None,1
ED-2022-OPE-0062-0048,Ithaka S+R,0
CFPB-2016-0025-30138,None,1
FS-2019-0010-39126,None,1
FDA-2021-N-1349-168152,None,1
EEOC-2023-0004-86324,None,1
NOAA-NOS-2017-0066-23327,None,1
NHTSA-2002-11419-5552-0002,None,1
NOAA-NMFS-2014-0041-1570,None,1
DOI-2022-0001-0429,None,1
FSIS-2016-0021-5041,None,1
CFPB-2022-0003-16178,None,1
CPSC-2023-0021-11213,None,1
OSHA-H122-2006-0956-18739,None,1
FNS-2007-0038-57287,None,1
OSHA-H122-2006-0956-7803,None,1
APHIS-2006-0044-2150,Riverbanks Zoo and Garden,0
DOI-2017-0002-148303,None,1
FDA-2015-N-1765-6960,None,1
NPS-2018-0005-65699,None,1
CMS-2012-0031-47419,None,1
HHS-OCR-2019-0007-9858,None,1
DOI-2017-0002-299736,None,1
WHD-2020-0007-0376,None,1
ED-2018-OCR-0064-60054,None,1
FWS-HQ-ES-2021-0107-37440,None,1
NOAA-NMFS-2008-0241-15911,Center for Biological Diversity,1
CFPB-2019-0006-176847,None,1
NHTSA-2020-0106-0396,None,1
USTR-2022-0008-0243,None,1
FS-2021-0007-51026,None,1
FNS-2019-0001-34872,None,1
FS-2023-0006-1111,None,1
FWS-HQ-ES-2018-0007-60364,None,1
CFPB-2016-0025-33551,None,1
WHD-2017-0003-168680,None,1
EPA-HQ-OPPT-2020-0642-0632,None,1
NHTSA-2005-22223-1514-0022,None,1
EPA-R03-OW-2010-0736-0580,"Virginia Municipal Stormwater Association, Inc.",0
EPA-HQ-OAR-2018-0794-0841,None,1
USBC-2018-0005-5992,None,1
FDA-2021-P-0460-0094,None,1
CMS-2020-0088-9619,"Neal Psychological Specialties, LTD",1
FSIS-2018-0024-0607,None,1
BOEM-2017-0050-18498,None,1
FDA-2020-D-1139-2120,None,1
NLRB-2018-0001-23891,None,1
HHS-OS-2020-0001-0240,None,1
FWS-R9-ES-2008-0093-9974,None,1
ED-2019-OPE-0080-8853,None,1
IRS-2013-0038-51617,None,1
CEQ-2019-0003-466894,None,1
CMS-2019-0111-31212,None,1
CFPB-2016-0025-73175,None,1
CPSC-2023-0009-2995,None,1
ED-2021-OCR-0166-55939,None,1
ATF-2021-0002-205887,None,1
BLM-2023-0001-108038,None,1
NHTSA-2000-8011-3775,None,1
ED-2021-OCR-0166-216386,None,1
EPA-R06-OAR-2005-TX-0025-0262,Sierra Club,1
NHTSA-2001-8885-3308,None,1
WHD-2019-0001-13232,None,1
SSA-2018-0026-54849,None,1
HHS-OS-2019-0014-55524,None,1
ATF-2021-0001-159578,None,1
FS-2021-0007-62878,None,1
CMS-2021-0119-13900,None,1
FTC-2023-0040-0411,None,1
CMS-2014-0115-15069,None,1
FDA-2014-N-0189-52918,None,1
ATF-2023-0002-161703,None,1
HUD-2020-0047-0688,None,1
NOAA-NMFS-2014-0107-0238,None,1
ATF-2018-0001-16113,None,1
FAA-2002-13378-3577,None,1
BOEM-2022-0031-222482,None,1
ATF-2021-0002-65723,None,1
HHS-OCR-2019-0007-85814,Family Research Council,1
CEQ-2019-0003-696959,None,1
HHS-OS-2020-0001-7228,None,1
OCC-2018-0008-0922,Merchants Bank of Indiana,0
CMS-2019-0163-0555,None,1
OSHA-H122-2006-0958-0976,TUFFY AUTO SERVICE CTR,0
CDC-2020-0029-1816,None,1
ED-2018-OCR-0064-72328,None,1
IRS-2010-0022-10629,None,1
BLM-2018-0001-191287,None,1
EPA-HQ-OAR-2004-0021-0300,None,1
ED-2022-OCR-0143-100313,None,1
FWS-HQ-NWRS-2023-0038-4931,None,1
EPA-HQ-OPP-2005-0128-0239,Engel's Nursery Inc.,0
NPS-2018-0005-102681,None,1
DEA-2024-0059-23968,None,1
EEOC-2023-0004-14601,None,1
DEA-2024-0059-12977,None,1
NPS-2018-0007-29209,None,1
ACF-2023-0009-72483,None,1
OMB-2019-0002-20871,None,1
NLRB-2011-0002-0204,None,1
CMS-2012-0031-91062,None,1
USCIS-2021-0006-8318,None,1
USBC-2018-0005-5457,None,1
FDA-2023-D-0451-0579,"Ripple Foods, Inc",0
IRS-2023-0041-20029,None,1
CFPB-2024-0032-127175,None,1
FWS-R9-NSR-2008-0062-15562,None,1
NOAA-NOS-2017-0066-36775,Conservation International,1
NOAA-NMFS-2023-0027-12769,None,1
HHS-OCR-2023-0011-4810,None,1
IRS-2023-0041-28691,None,1
SSA-2018-0026-74924,None,1
DOI-2017-0002-273434,None,1
ATF-2021-0001-66997,None,1
USTR-2019-0023-0018,International Olympic Committee,0
EEOC-2023-0004-39337,None,1
HHS-OS-2019-0014-84905,None,1
VA-2016-VHA-0011-9081,None,1
FWS-R9-FHC-2008-0015-0684,USC Aiken Nursing,1
HHS-OS-2010-0020-2052,National Women's Law Center,1
CDC-2023-0060-1928,None,1
FS-2023-0006-41024,None,1
FDA-2021-N-1349-103521,None,1
EERE-2018-BT-STD-0005-1065,None,1
ATF-2021-0001-111321,None,1
NLRB-2011-0002-58976,None,1
APHIS-2023-0022-5365,None,1
FWS-HQ-ES-2021-0104-3672,None,1
CDC-2016-0068-5141,None,1
BLM-2023-0001-70892,None,1
FNS-2007-0038-64428,None,1
FWS-R8-ES-2018-0106-1282,None,1
NOAA-NMFS-2008-0209-1604,None,1
BLM-2023-0001-66707,None,1
HHS-OCR-2019-0007-76250,Family Research Council,1
BIS-2018-0006-118739,PRIMROSE ALLOYS INC,0
BIS-2018-0006-149918,O&k American Corp,0
FDA-2021-N-1309-52277,None,1
ATF-2023-0002-152354,None,1
CPSC-2023-0021-6621,None,1
FWS-HQ-IA-2024-0124-2358,None,1
ATF-2023-0002-107232,None,1
USTR-2019-0003-12279,None,1
BOEM-2022-0031-8391,None,1
FMCSA-2001-9709-0730-0007,International Brotherhood of Teamsters,0
HHS-OCR-2019-0007-81014,Family Research Council,1
CEQ-2019-0003-712883,None,1
CEQ-2019-0003-50871,None,1
WHD-2017-0003-11750,None,1
FDA-2023-N-1553-0102,None,1
FDA-2021-N-0553-0517,None,1
WHD-2017-0002-17421,None,1
OSHA-H011A-2006-0918-0725,WILHOLD GLUES INC,0
CEQ-2019-0003-550643,None,1
NPS-2016-0002-2885,None,1
WHD-2023-0001-19915,None,1
ATF-2021-0002-15646,None,1
FS-2014-0001-0033,American Water Works Association,0
FWS-HQ-ES-2018-0097-86268,None,1
ED-2014-OPE-0039-0347,Education Management Corporation,1
EPA-HQ-OAR-2017-0355-20009,None,1
BLS-2024-0001-36438,Grant Professionals Association,1
CMS-2022-0113-2363,None,1
EPA-HQ-OAR-2009-0517-12210,None,1
FDA-2010-N-0128-0062,American Pharmacists Association,0
HHSIG-2021-0009-8835,None,1
CMS-2016-0123-42178,None,1
CMS-2014-0115-20731,None,1
AMS-NOP-14-0062-0631,None,1
DOI-2018-0017-3453,None,1
NOAA-NOS-2017-0066-70855,None,1
CFPB-2016-0025-183364,None,1
DOI-2017-0002-447464,None,1
ATF-2023-0002-80481,None,1
CFPB-2016-0025-55848,None,1
FWS-HQ-ES-2018-0097-29061,None,1
OSHA-H122-2006-0955-3964,None,1
AMS-SC-16-0112-11020,None,1
VA-2016-VHA-0011-86258,None,1
FWS-R4-ES-2024-0073-6855,None,1
FDA-2022-N-0082-11588,None,1
ATF-2023-0002-22631,None,1
EEOC-2023-0004-35827,None,1
NOAA-NOS-2017-0066-29680,None,1
CFPB-2023-0010-95171,None,1
HHS-OS-2019-0014-106141,None,1
NPS-2018-0007-47955,None,1
FMCSA-2000-7382-0785-0005,International Brotherhood of Teamsters,0
CEQ-2019-0003-231464,None,1
EPA-HQ-OAR-2008-0699-2619,None,1
FDA-2011-N-0921-15340,None,1
FWS-HQ-ES-2019-0115-31049,None,1
FWS-HQ-ES-2018-0007-25695,None,1
ED-2021-OCR-0166-140276,None,1
BLM-2023-0001-36616,None,1
BOEM-2022-0031-167118,None,1
CMS-2012-0031-55121,None,1
NOAA-NMFS-2009-0029-16295,None,1
FS-2018-0004-19511,None,1
HHS-OS-2018-0008-198397,None,1
EPA-HQ-OAR-2002-0027-2824,Northern Indiana Public Service Company,0
NLRB-2011-0002-52108,Vic's Precision Automotive,0
CEQ-2019-0003-331809,None,1
FDA-2019-N-5959-15752,None,1
FDA-2018-N-3685-6162,None,1
SBA-2020-0049-0391,None,1
IRS-2013-0038-27466,None,1
APHIS-2007-0096-5047,None,1
FDA-2021-N-1088-97418,None,1
CMS-2024-0006-0807,None,1
NIST-2021-0001-12637,None,1
FWS-HQ-ES-2018-0006-13856,None,1
EPA-HQ-OAR-2011-0044-3394,None,1
FDA-2021-N-1309-63057,None,1
NPS-2018-0007-48936,None,1
SSA-2018-0026-31542,None,1
HHS-OS-2021-0010-54866,None,1
COLC-2021-0009-1406,None,1
ACF-2023-0009-57158,None,1
FWS-R6-ES-2019-0054-0452,None,1
ED-2021-OCR-0166-42125,None,1
EEOC-2023-0004-93107,None,1
APHIS-2023-0059-8601,None,1
ATF-2021-0001-64394,None,1
HHS-OS-2018-0008-68983,Advocates for Women,1
ED-2021-SCC-0158-0525,None,1
WHD-2022-0003-42652,None,1
FNS-2007-0038-16333,None,1
EPA-HQ-OA-2017-0190-49230,None,1
HHS-OS-2022-0012-31105,None,1
FDA-2009-N-0145-0027,None,1
DOI-2017-0002-507255,None,1
FWS-R9-ES-2010-0086-1923,None,1
EPA-HQ-OPP-2014-0778-0037,Oregon Seed Council,0
FWS-HQ-ES-2018-0006-10939,None,1
FWS-HQ-ES-2021-0104-87530,None,1
ICEB-2018-0002-0965,None,1
BOEM-2022-0021-0739,None,1
EPA-HQ-OAR-2016-0004-2470,None,1
IRS-2013-0038-131720,Faith and Freedom Coalition,1
FS-2021-0007-16914,None,1
SBA-2020-0059-2257,None,1
FWS-R6-ES-2008-0008-39081,None,1
OSHA-2018-0005-0109,Tate & Renner,0
FWS-R8-ES-2023-0084-0026,California Off-Road Vehicle Association,0
CEQ-2019-0003-699442,None,1
CEQ-2023-0002-9790,None,1
APHIS-2023-0024-9847,None,1
EPA-HQ-OW-2022-0678-0045,The Center for Water Security and Cooperation; We the People of Detroit,0
CEQ-2019-0003-339229,None,1
CEQ-2019-0003-282747,None,1
CMS-2014-0094-1842,None,1
HHS-OS-2011-0023-53776,None,1
FAA-2001-10910-0168,None,1
AMS-FTPP-19-0037-1375,None,1
OSHA-S012A-2006-0642-0106,OMB,0
EPA-HQ-OW-2021-0328-0111,"Blackstone Valley National Heritage Corridor, Inc.",0
CMS-2019-0073-5244,Vibra Healthcare and Ernest Health,0
DOI-2017-0002-61122,None,1
ATF-2018-0002-80972,None,1
DOJ-OAG-2020-0001-4168,None,1
FAA-2009-1093-1382,None,1
ATF-2023-0002-162487,None,1
FAA-2014-0396-2577,None,1
USCBP-2007-0084-0500,None,1
FWS-HQ-ES-2018-0097-32421,None,1
HHS-OS-2020-0001-1921,None,1
NARA-07-0001-0166,None,1
FWS-HQ-ES-2021-0106-11378,None,1
BLM-2018-0001-179714,None,1
DEA-2023-0029-23537,None,1
DOT-OST-2018-0124-3240,None,1
EPA-HQ-OAR-2011-0135-1376,None,1
DOT-OST-2011-0044-0180,None,1
EPA-HQ-OW-2012-0315-1867,Sierra Club,1
BLM-2018-0001-146196,None,1
CEQ-2019-0003-233460,None,1
FNS-2011-0029-1298,None,1
ED-2019-OPE-0080-13336,None,1
FWS-R7-ES-2009-0051-5350,Greenpeace,1
ATF-2021-0002-159191,None,1
DOS-2014-0003-23984,BKM Strategies,1
HUD-2019-0067-2878,None,1
FDA-2021-N-1349-59391,None,1
FHWA-2002-12229-0161-0011,Cheyenne and Arapaho Tribes of Oklahoma,0
CMS-2015-0083-2446,None,1
CEQ-2019-0003-198751,None,1
OCC-2018-0038-0447,Mortgage Bankers Association,0
FAA-2012-0374-0075,None,1
EEOC-2023-0004-39664,None,1
CFPB-2014-0031-5448,None,1
OSHA-2021-0007-67207,None,1
ED-2022-OCR-0143-145329,None,1
ATF-2021-0001-35848,None,1
ICEB-2015-0002-41472,None,1
CEQ-2019-0003-76675,None,1
ED-2022-OCR-0143-31340,None,1
CFPB-2019-0006-19173,None,1
FNS-2007-0038-47841,None,1
WHD-2017-0003-214779,None,1
USCIS-2010-0012-13504,None,1
CMS-2022-0113-10862,None,1
DOT-OST-2018-0068-2112,None,1
EPA-HQ-OAR-2013-0479-4979,None,1
FNS-2018-0004-3479,None,1
FNS-2019-0001-23911,None,1
FDA-2021-N-1088-90243,None,1
USBC-2018-0005-71363,None,1
IRS-2015-0049-11284,None,1
DOI-2017-0002-675086,None,1
NPS-2018-0005-53378,None,1
NPS-2008-0006-4925,None,1
BOEM-2022-0031-41705,None,1
EPA-HQ-OAR-2017-0355-9340,None,1
BOEM-2022-0031-257032,None,1
FDA-2018-D-4628-0007,Celgene Corporation,0
AMS-NOP-21-0073-12525,None,1
CEQ-2019-0003-566209,None,1
ATF-2021-0002-178081,None,1
NHTSA-2022-0042-0002,NAMIC,0
HHS-OCR-2019-0007-35521,None,1
FDA-2018-N-3685-9694,None,1
ETA-2019-0005-299170,None,1
BLM-2023-0005-53746,None,1
CMS-2012-0031-14830,None,1
BOEM-2022-0031-10006,None,1
ATF-2023-0002-278991,None,1
FSIS-2006-0034-0309,"Tyson Foods, Inc",0
FWS-HQ-ES-2019-0115-26197,None,1
USA-2019-HQ-0032-0615,None,1
FDA-2018-D-4533-2132,None,1
CFPB-2024-0032-119268,None,1
OSHA-H122-2006-0956-11644,None,1
VA-2016-VHA-0011-35750,None,1
EERE-2014-BT-STD-0005-2755,None,1
APHIS-2023-0086-12495,None,1
CEQ-2019-0002-6194,None,1
VA-2016-VHA-0011-87546,None,1
FSOC-2010-0002-0409,House Committee on Financial Services,0
FDA-1977-N-0014-0671,Congress of the United States,0
EBSA-2010-0050-1301,United States Congress,0
EBSA-2018-0001-0121,Office of Congressman Steve King (IA-04)||0
OSHA-H020-2006-0929-2234,US CONGRESS,0
OSHA-H011D-2006-0907-0665,US CONGRESS,0
EPA-HQ-OAR-2004-0265-0242,None,1
FHWA-1997-2200-0078,CONGRESS OF THE UNITED STATES,0
EPA-HQ-OAR-2004-0265-0222,None,0
FDA-1977-N-0014-0673,Congress of the United States,0
