docketId,title,rulemaking
DOD-2005-0038,Defense Federal Acquisition Regulation Supplement; Central Contractor Registration,Nonrulemaking
NASA-2005-0016,Federal Acquisition Regulation; Reimbursement of Relocation Costs on a Lump-Sum Basis,Nonrulemaking
NASA-2005-0017,Federal Acquisition Regulation; Information Technology Security,Nonrulemaking
NASA-2005-0018,Small Business Innovation Research (SBIR) and Small Business Technology Transfer (STTR) Contractor Re-Certification of Program Compliance,Nonrulemaking
DOD-2005-0039,Defense Federal Acquisition Regulation Supplement; Quality Control of Aviation Critical Safety Items and Related Services,Nonrulemaking
DOD-2005-0040,Federal Acquisition Regulation; Improvements in Contracting for Architect-Engineer Services,Nonrulemaking
DOD-2005-0041,Defense Federal Acquisition Regulation Supplement; Prohibition of Foreign Taxation on U.S. Assistance Programs,Nonrulemaking
NASA-2005-0019,Federal Acquisition Regulation; Expiration of the Price Evaluation Adjustment,Nonrulemaking
DOD-2005-0042,Federal Acquisition Regulation; Implementation of the Anti- Lobbying Statute,Nonrulemaking
NASA-2005-0020,Federal Acquisition Regulation; Training and Education Cost Principle,Nonrulemaking
NASA-2005-0021,Federal Acquisition Regulation; Title 40 of United States Code Reference Corrections,Nonrulemaking
DOD-2005-0043,Defense Federal Acquisition Regulation Supplement; Advisory and Assistance Services,Nonrulemaking
DOD-2005-0044,"Federal Acquisition Regulation; Increased Justification and Approval Threshold for DOD, NASA, and Coast Guard",Nonrulemaking
NASA-2005-0022,Federal Acquisition Regulation; Improvements in Contracting for Architect-Engineer Services,Nonrulemaking
DOD-2005-0045,Federal Acquisition Regulation; Expiration of the Price Evaluation Adjustment,Nonrulemaking
DOD-2005-0046,Federal Acquisition Regulation; Powers of Attorney for Bid Bonds,Nonrulemaking
DOD-2005-0047,Federal Acquisition Regulation; Training and Education Cost Principle,Nonrulemaking
NASA-2005-0023,Federal Acquisition Regulation; Addition of Landscaping and Pest Control Services to the Small Business Competitiveness Demonstration Program,Nonrulemaking
NASA-2005-0024,"Federal Acquisition Regulation; Increased Justification and Approval Threshold for DOD, NASA, and Coast Guard",Nonrulemaking
DOD-2005-0048,Federal Acquisition Circular 2005-06; Introduction,Nonrulemaking
DOD-2005-0049,Federal Acquisition Regulation; Reimbursement of Relocation Costs on a Lump-Sum Basis,Nonrulemaking
DOD-2005-0050,Federal Acquisition Regulation; Small Entity Compliance Guide,Nonrulemaking
NASA-2005-0025,Federal Acquisition Circular 2005-06; Introduction,Nonrulemaking
GIPSA-2005-0001,Opportunity To Comment on the Applicants for the Minnesota Area,Nonrulemaking
PTO-2005-0002,Patent and Trademark Financial Transactions (Formerly Payment of Patent and Trademark Office Fees by Credit Card),Nonrulemaking
RBS-2005-0001,Business and Industry Guaranteed Loan Program Annual Renewal Fee,Nonrulemaking
NRCS-2005-0001,,Nonrulemaking
DOD-2005-0051,36(b)(1) Arms Sales Notification,Nonrulemaking
DOD-2005-0052,Munitions Response Site Prioritization Protocol,Nonrulemaking
ESA-2005-0004,The Department of Labor seeks the extension of approval to collect this information in order to carry out its responsibility to evaluate an applicants ability to be a representative payee. If the Program were not able to screen representative payee applicants the beneficiarys best interest would not be served.   Type of Review: Extension.,Nonrulemaking
NASA-2005-0026,Notice of Prospective Patent License,Nonrulemaking
NASA-2005-0027,Aerospace Safety Advisory Panel Meeting,Nonrulemaking
DOD-2005-0053,36(b)(1) Arms Sales Notification,Nonrulemaking
NSF-2005-0011,Notice of Intent To Seek Approval To Extend a Current Information Collection,Nonrulemaking
DOD-2005-0054,36(b)(1) Arms Sales Notification,Nonrulemaking
DOD-2005-0055,Submission for OMB Review; Comment Request,Nonrulemaking
DOD-2005-0056,Submission for OMB Review; Comment Request,Nonrulemaking
DOD-2005-0057,Submission for OMB Review; Comment Request,Nonrulemaking
DOD-2005-0058,Privacy Act of 1974; System of Records,Nonrulemaking
DOD-2005-0059,Submission for OMB Review; Comment Request,Nonrulemaking
DOL-2005-0009,"Comments should be sent to Office of Information and Regulatory Affairs, Attn: OMB Desk Officer for ETA, Office of Management and Budget, Room 10235, Washington, DC 20503, 202-395-7316 (this is not a toll free number), within 30 days from the date of this publication in the Federal Register.   The OMB is particularly interested in comments which:<bullet>Evaluate whether the proposed collection of",Nonrulemaking
DOL-2005-0010,"Comments should be sent to Office of Information and Regulatory Affairs, Attn: OMB Desk Officer for ETA, Office of Management and Budget, Room 10235, Washington, DC 20503, 202-395-7316 (this is not a toll free number), within 30 days from the date of this publication in the Federal Register.   The OMB is particularly interested in comments which:<bullet>Evaluate whether the proposed collection of",Nonrulemaking
USN-2005-0003,Notice of Availability of Government-Owned Invention; Available for Licensing,Nonrulemaking
USN-2005-0004,Meeting of the Ocean Research Advisory Panel,Nonrulemaking
DOD-2005-0060,"Strategic Environmental Research and Development Program, Scientific Advisory Board",Nonrulemaking
USTR-2005-0003,Generalized System of Preferences (GSP): Request For Public Comments,Nonrulemaking
HHS-2005-0010,Agency Information Collection Activities: Proposed Collection; Comment Request,Nonrulemaking
DOD-2005-0061,Submission for OMB Review; Comment Request,Nonrulemaking
DOD-2005-0062,Submission for OMB Review; Comment Request,Nonrulemaking
DOD-2005-0063,Proposed Collection; Comment Request,Nonrulemaking
DOD-2005-0064,Proposed Collection; Comment Request,Nonrulemaking
GIPSA-2005-0002,Solicitation of Nominations for Members of the Grain Inspection Advisory Committee,Nonrulemaking
HHS-2005-0011,"Assistant Secretary for Planning and Evaluation; Medicaid Program; Meeting of the Medicaid Commission--October 26-27, 2005",Nonrulemaking
NSF-2005-0018,Notice of Availability,Nonrulemaking
RUS-2005-0003,"Seminole Electric Cooperative, Inc.; Notice of Intent To Hold Public Scoping Meeting and Prepare a Supplemental Environmental Impact Statement",Nonrulemaking
ARS-2005-0003,"Office of the Under Secretary, Research, Education, and Economics; Notice of the Advisory Committee on Biotechnology and 21st Century Agriculture Meeting",Nonrulemaking
DOD-2005-0065,Defense Federal Acquisition Regulation Supplement; Payment and Billing Instructions,Nonrulemaking
NRCS-2005-0002,Notice To Reinstate and Revise a Previously Approved Information Collection,Nonrulemaking
USTR-2005-0004,Trade Policy Staff Committee; Public comments on the Caribbean Basin Economic Recovery Act and the Caribbean Basin Trade Partnership Act: Report to Congress,Nonrulemaking
DOD-2005-0066,Nationwide TRICARE Demonstration Project,Nonrulemaking
DOD-2005-0067,Membership of the Performance Review Board,Nonrulemaking
DOL-2005-0012,"September 30, 2005.   The Department of Labor (DOL) has submitted the following public information collection request (ICR) to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act of 1995 (Pub. L. 104-13, 44 U.S.C. chapter 35). A copy of this ICR, with applicable supporting documentation, may be obtained by contacting Darrin King on 202-6",Nonrulemaking
RBS-2005-0002,Disbursement of Funds,Nonrulemaking
EBSA-2005-0005,Additional Extension of Time Frames for Employee Benefit Plans Affected by Hurricane Katrina,Nonrulemaking
FSA-2005-0004,Disbursement of Funds,Nonrulemaking
RHS-2005-0002,Disbursement of Funds,Nonrulemaking
USN-2005-0005,"Notice of Intent To Prepare an Environmental Impact Statement (EIS) for an Annex to the Fort Rosecrans National Cemetery at Marine Corps Air Station Miramar, San Diego, CA",Nonrulemaking
RUS-2005-0004,Disbursement of Funds,Nonrulemaking
WAPA-2005-0002,Desert Southwest Customer Service Region-Rate Order No. WAPA-127,Nonrulemaking
DOD-2005-0068,Federal Acquisition Regulation; Submission for OMB Review; Past Performance Information,Nonrulemaking
ARS-2005-0004,Advisory Committee on Biotechnology and 21st Century Agriculture; Nominations,Nonrulemaking
HHS-2005-0012,Senior Executive Service; Performance Review Board Members,Nonrulemaking
MSHA-2005-0006,"USGS data show that domestic production of sand and gravel and crushed stone increased every year between 1991 and 1999, an indication of the continuing strong demand for construction aggregates in the United Sates. The number of hours worked at sand and gravel and crushed stone operations has been increasing steadily since 1991.   MSHAs objective in these requirements is to ensure that all miners",Nonrulemaking
NASA-2005-0028,Federal Acquisition Regulation; Submission for OMB Review; Past Performance Information,Nonrulemaking
USA-2005-0004,"Board of Visitors, United States Military Academy (USMA)",Nonrulemaking
USA-2005-0005,"Notice of Availability of a Novel Fiberglass Technology for Exclusive, Partially Exclusive or Non-Exclusive Licenses",Nonrulemaking
DOD-2005-0069,Federal Acquisition Regulation; Information Collection; Progress Payments,Nonrulemaking
DOL-2005-0013,Bureau of International Labor Affairs; U.S. National Administrative Office; National Advisory Committee for Labor Provisions of U.S. Free-trade Agreements; Notice of Open Meeting,Nonrulemaking
NASA-2005-0029,Federal Acquisition Regulation; Information Collection; Progress Payments,Nonrulemaking
DOD-2005-0070,Membership of the Defense Information Systems Agency Senior Executive Service Performance Review Board,Nonrulemaking
NASA-2005-0030,Notice of Information Collection,Nonrulemaking
NSF-2005-0021,Notice of Permits Issued Under the Antarctic Conservation Act of 1978,Nonrulemaking
DOL-2005-0014,"for the proper performance of the functions of the agency, including whether the information will have practical utility;<bullet>Evaluate the accuracy of the agencys estimate of the burden of the proposed collection of information, including the validity of the methodology and assumptions used;<bullet>Enhance the quality, utility and clarity of the information to be collected; and<bullet>Minimize",Nonrulemaking
HHS-2005-0013,Meeting of the Secretarys Advisory Committee on Human Research Protections,Nonrulemaking
USN-2005-0006,Meeting of the Board of Visitors of Marine Corps University,Nonrulemaking
RUS-2005-0005,Information Collection Activity; Comment Request,Nonrulemaking
DOL-2005-0015,"October 11, 2005.   The Department of Labor (DOL) has submitted the following public information collection requests (ICRs) to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act of 1995 (Pub. L. 104-13, 44 U.S.C. chapter 35). A copy of each ICR, with applicable supporting documentation, may be obtained by contacting Darrin King on 202-6",Nonrulemaking
DOD-2005-0071,Notice of the Defense Acquisition Performance Assessment Project Meetings,Nonrulemaking
DOL-2005-0016,Type of Review: New collection.,Nonrulemaking
FAS-2005-0002,"[Federal Register: October 18, 2005 (Volume 70, Number 200)]",Nonrulemaking
RUS-2005-0006,Information Collection Activity; Comment Request,Nonrulemaking
FAS-2005-0003,Trade Adjustment Assistance for Farmers,Nonrulemaking
ETA-2005-0052,"Grants and cooperative agreements; availability, etc.: Rural Industrialization Loan and Grant Program; compliance certification requests",Nonrulemaking
NSF-2005-0022,"Meetings: Social, Behavioral, and Economic Sciences Advisory Committee",Nonrulemaking
EBSA-2005-0006,Meetings: Employee Welfare and Pension Benefit Plans Advisory Council,Nonrulemaking
ETA-2005-0053,"Grants and cooperative agreements; availability, etc.: Rural Industrialization Loan and Grant Program; compliance certification requests",Nonrulemaking
NASA-2005-0031,NASA Grant and Cooperative Agreement Handbook--Research and Development Abstracts,Nonrulemaking
NASA-2005-0032,NASA Federal Acquisition Regulation (FAR) Supplement--Research and Development Abstracts,Nonrulemaking
DOD-2005-0072,"Science and Technology Reinvention Laboratory Personnel Management Demonstration Project, Department of the Air Force, Air Force Research Laboratory (AFRL)",Nonrulemaking
EBSA-2005-0007,Meetings: Employee Welfare and Pension Benefit Plans Advisory Council,Nonrulemaking
NSF-2005-0023,Meetings: Polar Program Advisory Committee,Nonrulemaking
ATBCB-2005-0001,Courthouse Access Advisory Committee; Meeting,Nonrulemaking
NSF-2005-0024,Notice of Permits Issued Under the Antarctic Conservation Act of 1978,Nonrulemaking
USAF-2005-0002,"Active military service and discharge determinations: U.S. and foreign civilian employees of CAT, Inc. (1950-1959), Air America (1961-1974), and Air America (1964-1975) in various Asian countries",Nonrulemaking
DOL-2005-0017,"Comments should be sent to Office of Information and Regulatory Affairs, Attn: OMB Desk Officer for ETA, Office of Management and Budget, Room 10235, Washington, DC 20503, 202-395-7316 (this is not a toll free number), within 30 days from the date of this publication in the Federal Register.   The OMB is particularly interested in comments which:<bullet>Evaluate whether the proposed collection of",Nonrulemaking
USA-2005-0006,Obtaining Information From Financial Institutions,Nonrulemaking
USA-2005-0007,Armed Forces Disciplinary Control Boards and Off-Installation Liaison and Operations,Nonrulemaking
ESA-2005-0006,"The Department of Labor seeks a three year extension of approval to collect this information in order to permit OFCCP the time to continue its assessment and evaluation of the EO Survey. During this period, OFCCP will conduct a cost benefit analysis to examine the effectiveness of the EO Survey; as a useful tool in the selection of contractors that are not in compliance with their Equal Employment",Nonrulemaking
FSIS-2005-0007,New Technology Web Site Contents; Response to Comments,Nonrulemaking
USA-2005-0008,Publication of Families First Business Rules,Nonrulemaking
ESA-2005-0007,The Department of Labor seeks the approval of the extension of this information collection to carry out its responsibility to determine a contractors compliance with provisions of the Davis-Bacon and Related Acts and the Copeland Act.   Type of Review: Extension.,Nonrulemaking
HHS-2005-0014,Meetings: Vital and Health Statistics National Committee,Nonrulemaking
USA-2005-0009,"Availability for Non-Exclusive, Exclusive, or Partially Exclusive Licensing of U.S. Patent Application Concerning Non-Contact Respiration Monitor",Nonrulemaking
MSHA-2005-0007,"Provisions under part 7 provide that manufacturers submit applications to demonstrate compliance with the test and specification requirements. In part 75, they establish mandatory safety standards for diesel-powered equipment for use in underground coal mines, minimum ventilating air quantities, the incorporation of the air quantities into the mine ventilation plan, requirements for routine sampli",Nonrulemaking
NSF-2005-0025,Meetings: Business and Operations Advisory Committee,Nonrulemaking
DOD-2005-0074,Defense Science Board,Nonrulemaking
NSF-2005-0026,Meetings: Materials Research Proposal Review Panel,Nonrulemaking
USA-2005-0010,Western Hemisphere Institute for Security Cooperation Board of Visitors; Meeting,Nonrulemaking
USA-2005-0011,"Availability for Non-Exclusive, Exclusive, or Partially Exclusive Licensing of U.S. Patents and Patent Applications Concerning Bacterial Superantigen Vaccines",Nonrulemaking
DOD-2005-0075,Missile Defense Agency; Membership of the Missile Defense Agency Senior Executive Service Performance Review Board,Nonrulemaking
RUS-2005-0007,Georgia Transmission Corporation; Notice of Availability of an Environmental Assessment,Nonrulemaking
DOD-2005-0077,TRICARE; Civilian Health and Medical Program of the Uniformed Services (CHAMPUS); Fiscal Year 2006 Diagnosis Related Group (DRG) Updates,Nonrulemaking
HHS-2005-0015,National Toxicology Program (NTP); Liaison and Scientific Review Office (LSRO); NTP High Throughput Screening Assays Workshop,Nonrulemaking
LMSO-2005-0002,"Union Officials: Guidelines for Fiduciary Responsibilities Under Section 501 of the Labor-Management Reporting and Disclosure Act, 29 U.S.C. Sec. 501",Nonrulemaking
USN-2005-0007,Notice of Availability of Government-Owned Inventions; Available for Licensing,Nonrulemaking
HHS-2005-0016,Findings of Scientific Misconduct,Nonrulemaking
MSHA-2005-0008,Petitions for safety standards modification; summary of affirmative decisions,Nonrulemaking
DOD-2005-0078,TRICARE; Sub-Acute Care Program; Uniform Skilled Nursing Facility Benefit; Home Health Care Benefit; Adopting Medicare Payment Methods for Skilled Nursing Facilities and Home Health Care Providers,Nonrulemaking
LMSO-2005-0003,Labor Organization Officer and Employee Reports,Nonrulemaking
DOD-2005-0079,Senior Executive Service Performance Review Board,Nonrulemaking
ETA-2005-0054,Disaster unemployment assistance: Hurricane Katrina; claims filing and documentation submission deadlines extended,Nonrulemaking
PTO-2005-0003,"Grant of Interim Extension of the Term of U.S. Patent No. 4,650,787; Vapreotide Acetate",Nonrulemaking
ETA-2005-0055,"Adjustment assistance; applications, determinations, etc.: Nidec America Corp.",Nonrulemaking
USA-2005-0012,Privacy Act; Implementation,Nonrulemaking
DOL-2005-0019,"October 19, 2005.   The Department of Labor (DOL) has submitted the following public information collection request (ICR) to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act of 1995 (Pub. L. 104-13, 44 U.S.C. chapter 35). A copy of this ICR, with applicable supporting documentation, may be obtained by contacting Darrin King on 202-693",Nonrulemaking
ETA-2005-0056,"Adjustment assistance; applications, determinations, etc.: Barrett Business Services, Inc.",Nonrulemaking
ETA-2005-0057,"Adjustment assistance; applications, determinstions, etc.: Cequent Consumer Products",Nonrulemaking
USA-2005-0013,Privacy Act of 1974; System of Records,Nonrulemaking
USAF-2005-0003,Performance Review Board Membership,Nonrulemaking
ETA-2005-0058,"Adjustment assistance; applications, determinations, etc.: Burlington Industries LLC",Nonrulemaking
ETA-2005-0059,"Adjustment assistance; applications, determinations, etc.: Canteen Services",Nonrulemaking
DOD-2005-0080,Strategic Advisory Group Meeting of the U.S. Strategic Command,Nonrulemaking
ETA-2005-0060,"Adjustment assistance; applications, determinations, etc.: Edward Fields, Inc.",Nonrulemaking
ETA-2005-0061,"Adjustment assistance; applications, determinations, etc.: Nu-Gro Technologies, Inc.",Nonrulemaking
HHS-2005-0017,"Organization, functions, and authority delegations: Assistant Secretary for Public Affairs",Nonrulemaking
VETS-2005-0001,Meetings: Presidents National Hire Veterans Committee,Nonrulemaking
ETA-2005-0062,"Adjustment assistance; applications, determinations, etc.: Henkel Corp.",Nonrulemaking
ETA-2005-0063,"Adjustment assistance; applications, determinations, etc.: Cone Mills Corp.",Nonrulemaking
ETA-2005-0064,"Adjustment assistance; applications, determinations, etc.: Microtek Medical",Nonrulemaking
DOL-2005-0020,"October 20, 2005.   The Department of Labor (DOL) has submitted the following public information collection requests (ICRs) to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act of 1995 (Pub. L. 104-13, 44 U.S.C. chapter 35). A copy of each ICR, with applicable supporting documentation, may be obtained by contacting Darrin King on 202-6",Nonrulemaking
GIPSA-2005-0003,Advisory Committee Meeting,Nonrulemaking
HHS-2005-0018,Agency Information Collection Activities: Proposed Collection; Comment Request,Nonrulemaking
DOL-2005-0021,"<bullet>Enhance the quality, utility and clarity of the information to be collected; and<bullet>Minimize the burden of the collection of information on those who are to respond, including through the use of appropriate automated, electronic, mechanical, or other technological collection techniques or other forms of information technology, e.g., permitting electronic submission of responses.",Nonrulemaking
HHS-2005-0019,Supplemental Financial Disclosure Requirements for Employees of the Department of Health and Human Services; Corrections,Nonrulemaking
MSHA-2005-0009,"Mine operators are required to conduct surveying such that mine maps are maintained accurate and up-to-date, the maps must be revised every 6 months and certified accurate by a registered engineer or surveyor and to submit copies of the certified underground maps to MSHA annually and an up-to-date and revised mine closure map whenever an operator permanently closes or abandons a coal mine, or temp",Nonrulemaking
HHS-2005-0020,Assistant Secretary for Planning and Evaluation; Medicaid Program; Announcement of the Appointment of New Individuals To Serve on the Medicaid Commission,Nonrulemaking
